Benchmark Year,Month,Town,Metric,Value
2019,Dec 2020,PRESTON,Labor Force,2137
2019,Dec 2020,PROSPECT,Labor Force,5128
2019,Dec 2020,PUTNAM,Labor Force,4401
2019,Dec 2020,REDDING,Labor Force,3942
2019,Dec 2020,RIDGEFIELD,Labor Force,10560
2019,Dec 2020,ROCKY HILL,Labor Force,10993
2019,Dec 2020,ROXBURY,Labor Force,1217
2019,Dec 2020,SALEM,Labor Force,1892
2019,Dec 2020,SALISBURY,Labor Force,1661
2019,Dec 2020,SCOTLAND,Labor Force,905
2019,Dec 2020,SEYMOUR,Labor Force,7942
2019,Dec 2020,SHARON,Labor Force,1366
2019,Dec 2020,SHELTON,Labor Force,19555
2019,Dec 2020,SHERMAN,Labor Force,1693
2019,Dec 2020,SIMSBURY,Labor Force,12970
2019,Dec 2020,SOMERS,Labor Force,4423
2019,Dec 2020,SOUTH WINDSOR,Labor Force,13506
2019,Dec 2020,SOUTHBURY,Labor Force,7779
2019,Dec 2020,SOUTHINGTON,Labor Force,23164
2019,Dec 2020,SPRAGUE,Labor Force,1413
2019,Dec 2020,STAFFORD,Labor Force,6427
2019,Dec 2020,STAMFORD,Labor Force,62707
2019,Dec 2020,STERLING,Labor Force,1844
2019,Dec 2020,STONINGTON,Labor Force,8687
2019,Dec 2020,STRATFORD,Labor Force,23964
2019,Dec 2020,SUFFIELD,Labor Force,6727
2019,Dec 2020,THOMASTON,Labor Force,4417
2019,Dec 2020,THOMPSON,Labor Force,4853
2019,Dec 2020,TOLLAND,Labor Force,8094
2019,Dec 2020,TORRINGTON,Labor Force,17491
2019,Dec 2020,TRUMBULL,Labor Force,15876
2019,Dec 2020,UNION,Labor Force,439
2019,Dec 2020,VERNON,Labor Force,16282
2019,Dec 2020,VOLUNTOWN,Labor Force,1305
2019,Dec 2020,WALLINGFORD,Labor Force,24612
2019,Dec 2020,WARREN,Labor Force,721
2019,Dec 2020,WASHINGTON,Labor Force,1885
2019,Dec 2020,WATERBURY,Labor Force,44300
2019,Dec 2020,WATERFORD,Labor Force,8962
2019,Dec 2020,WATERTOWN,Labor Force,11707
2019,Dec 2020,WEST HARTFORD,Labor Force,32611
2019,Dec 2020,WEST HAVEN,Labor Force,28000
2019,Dec 2020,WESTBROOK,Labor Force,3428
2019,Dec 2020,WESTON,Labor Force,3875
2019,Dec 2020,WESTPORT,Labor Force,11434
2019,Dec 2020,WETHERSFIELD,Labor Force,13161
2019,Dec 2020,WILLINGTON,Labor Force,3450
2019,Dec 2020,WILTON,Labor Force,7523
2019,Dec 2020,WINCHESTER,Labor Force,5613
2019,Dec 2020,WINDHAM,Labor Force,11441
2019,Dec 2020,WINDSOR,Labor Force,15487
2019,Dec 2020,WINDSOR LOCKS,Labor Force,6688
2019,Dec 2020,WOLCOTT,Labor Force,8993
2019,Dec 2020,WOODBRIDGE,Labor Force,4337
2019,Dec 2020,WOODBURY,Labor Force,5025
2019,Dec 2020,WOODSTOCK,Labor Force,3842
2019,Dec 2019,ANDOVER,Unemployed,54
2019,Dec 2019,ANSONIA,Unemployed,410
2019,Dec 2019,ASHFORD,Unemployed,74
2019,Dec 2019,AVON,Unemployed,199
